,soc
469,10.39
470,10.38
471,10.37
472,10.36
473,10.36
474,10.34
475,10.34
476,10.34
477,10.31
478,10.3
479,10.29
480,10.28
481,10.28
482,10.26
483,10.25
484,10.24
485,10.22
486,10.22
487,10.22
488,10.2
489,10.16
490,10.15
491,10.14
492,10.12
493,10.11
494,10.11
495,10.11
496,10.08
497,10.05
498,10.04
499,10.02
500,10.01
501,10.01
502,10.01
503,10
504,9.99
505,9.99
506,9.98
507,9.97
508,9.96
509,9.96
510,9.94
511,9.93
512,9.93
513,9.92
514,9.9
515,9.87
516,9.86
517,9.85
518,9.82
519,9.82
520,9.81
521,9.79
522,9.79
523,9.78
524,9.77
525,9.76
526,9.75
527,9.73
528,9.72
529,9.71
530,9.7
531,9.63
532,9.62
533,9.61
534,9.61
535,9.59
536,9.55
537,9.55
538,9.53
539,9.53
540,9.52
541,9.52
542,9.52
543,9.47
544,9.47
545,9.47
546,9.46
547,9.45
548,9.44
549,9.41
550,9.41
551,9.4
552,9.39
553,9.38
554,9.38
555,9.38
556,9.37
557,9.37
558,9.35
559,9.35
560,9.34
561,9.33
562,9.32
563,9.32
564,9.31
565,9.29
566,9.29
567,9.28
568,9.28
569,9.28
570,9.27
571,9.24
572,9.23
573,9.22
574,9.19
575,9.19
576,9.19
577,9.19
578,9.19
579,9.18
580,9.17
581,9.17
582,9.16
583,9.16
584,9.15
585,9.13
586,9.13
587,9.12
588,9.12
589,9.12
590,9.11
591,9.11
592,9.09
593,9.09
594,9.08
595,9.07
596,9.07
597,9.04
598,9.02
599,9.02
600,9.02
601,9.01
602,9
603,9
604,8.99
605,8.95
606,8.95
607,8.95
608,8.95
609,8.94
610,8.94
611,8.93
612,8.93
613,8.92
614,8.91
615,8.9
616,8.88
617,8.84
618,8.84
619,8.83
620,8.83
621,8.83
622,8.8
623,8.79
624,8.79
625,8.78
626,8.76
627,8.74
628,8.74
629,8.73
630,8.72
631,8.71
632,8.7
633,8.69
634,8.69
635,8.69
636,8.69
637,8.68
638,8.67
639,8.67
640,8.66
641,8.65
642,8.65
643,8.65
644,8.65
645,8.65
646,8.64
647,8.63
648,8.63
649,8.63
650,8.6
651,8.6
652,8.59
653,8.59
654,8.59
655,8.59
656,8.57
657,8.55
658,8.55
659,8.54
660,8.52
661,8.52
662,8.51
663,8.51
664,8.5
665,8.5
666,8.5
667,8.49
668,8.49
669,8.49
670,8.47
671,8.47
672,8.45
673,8.45
674,8.45
675,8.45
676,8.44
677,8.44
678,8.44
679,8.42
680,8.42
681,8.42
682,8.41
683,8.41
684,8.39
685,8.39
686,8.38
687,8.38
688,8.38
689,8.38
690,8.37
691,8.37
692,8.37
693,8.37
694,8.36
695,8.36
696,8.35
697,8.34
698,8.34
699,8.34
700,8.34
701,8.31
702,8.3
703,8.3
704,8.29
705,8.29
706,8.29
707,8.29
708,8.29
709,8.28
710,8.27
711,8.27
712,8.26
713,8.26
714,8.26
715,8.25
716,8.25
717,8.25
718,8.22
719,8.22
720,8.22
721,8.21
722,8.2
723,8.19
724,8.18
725,8.18
726,8.17
727,8.16
728,8.15
729,8.15
730,8.15
731,8.14
732,8.14
733,8.11
734,8.11
735,8.11
736,8.11
737,8.1
738,8.1
739,8.09
740,8.08
741,8.08
742,8.07
743,8.05
744,8.05
745,8.03
746,8.03
747,8.03
748,8.03
749,8.02
750,8.02
751,8.01
752,8.01
753,8
754,7.98
755,7.97
756,7.96
757,7.96
758,7.96
759,7.95
760,7.95
761,7.94
762,7.94
763,7.94
764,7.94
765,7.94
766,7.93
767,7.93
768,7.92
769,7.91
770,7.91
771,7.9
772,7.9
773,7.88
774,7.87
775,7.87
776,7.87
777,7.86
778,7.85
779,7.85
780,7.85
781,7.84
782,7.84
783,7.82
784,7.81
785,7.81
786,7.79
787,7.76
788,7.76
789,7.76
790,7.76
791,7.75
792,7.74
793,7.74
794,7.74
795,7.74
796,7.73
797,7.73
798,7.71
799,7.71
800,7.71
801,7.69
802,7.69
803,7.68
804,7.67
805,7.66
806,7.66
807,7.66
808,7.66
809,7.65
810,7.65
811,7.64
812,7.63
813,7.63
814,7.63
815,7.62
816,7.61
817,7.61
818,7.6
819,7.6
820,7.6
821,7.59
822,7.58
823,7.58
824,7.58
825,7.56
826,7.56
827,7.56
828,7.55
829,7.54
830,7.53
831,7.53
832,7.53
833,7.52
834,7.51
835,7.51
836,7.51
837,7.5
838,7.49
839,7.48
840,7.48
841,7.48
842,7.48
843,7.47
844,7.47
845,7.47
846,7.47
847,7.47
848,7.45
849,7.45
850,7.44
851,7.42
852,7.41
853,7.41
854,7.41
855,7.41
856,7.4
857,7.4
858,7.39
859,7.39
860,7.39
861,7.39
862,7.38
863,7.38
864,7.37
