,soc
2147,3.92
2148,3.92
2149,3.92
2150,3.92
2151,3.91
2152,3.91
2153,3.91
2154,3.91
2155,3.91
2156,3.91
2157,3.91
2158,3.91
2159,3.9
2160,3.9
2161,3.9
2162,3.9
2163,3.9
2164,3.9
2165,3.89
2166,3.89
2167,3.89
2168,3.89
2169,3.89
2170,3.89
2171,3.88
2172,3.88
2173,3.88
2174,3.88
2175,3.88
2176,3.88
2177,3.87
2178,3.87
2179,3.87
2180,3.87
2181,3.87
2182,3.87
2183,3.86
2184,3.86
2185,3.86
2186,3.86
2187,3.86
2188,3.86
2189,3.86
2190,3.86
2191,3.86
2192,3.85
2193,3.85
2194,3.85
2195,3.85
2196,3.85
2197,3.85
2198,3.84
2199,3.84
2200,3.84
2201,3.84
2202,3.84
2203,3.84
2204,3.84
2205,3.83
2206,3.83
2207,3.83
2208,3.83
2209,3.83
2210,3.83
2211,3.83
2212,3.83
2213,3.83
2214,3.83
2215,3.83
2216,3.83
2217,3.82
2218,3.82
2219,3.82
2220,3.82
2221,3.82
2222,3.82
2223,3.82
2224,3.82
2225,3.82
2226,3.81
2227,3.81
2228,3.81
2229,3.81
2230,3.81
2231,3.81
2232,3.81
2233,3.81
2234,3.8
2235,3.8
2236,3.8
2237,3.8
2238,3.8
2239,3.8
2240,3.8
2241,3.8
2242,3.8
2243,3.8
2244,3.8
2245,3.8
2246,3.8
2247,3.79
2248,3.79
2249,3.79
2250,3.79
2251,3.78
2252,3.78
2253,3.78
2254,3.78
2255,3.78
2256,3.78
2257,3.78
2258,3.78
2259,3.77
2260,3.77
2261,3.76
2262,3.76
2263,3.76
2264,3.76
2265,3.75
2266,3.75
2267,3.75
2268,3.75
2269,3.75
2270,3.75
2271,3.75
2272,3.74
2273,3.74
2274,3.74
2275,3.74
2276,3.73
2277,3.73
2278,3.73
2279,3.73
2280,3.73
2281,3.73
2282,3.73
2283,3.73
2284,3.73
2285,3.72
2286,3.72
2287,3.72
2288,3.72
2289,3.72
2290,3.72
2291,3.72
2292,3.72
2293,3.71
2294,3.71
2295,3.71
2296,3.71
2297,3.7
2298,3.7
2299,3.7
2300,3.7
2301,3.7
2302,3.7
2303,3.7
2304,3.69
2305,3.69
2306,3.69
2307,3.69
2308,3.69
2309,3.69
2310,3.69
2311,3.69
2312,3.69
2313,3.69
2314,3.68
2315,3.68
2316,3.68
2317,3.68
2318,3.67
2319,3.67
2320,3.67
2321,3.66
2322,3.66
2323,3.66
2324,3.66
2325,3.66
2326,3.66
2327,3.66
2328,3.65
2329,3.65
2330,3.65
2331,3.65
2332,3.65
2333,3.65
2334,3.65
2335,3.65
2336,3.65
2337,3.65
2338,3.65
2339,3.65
2340,3.64
2341,3.64
2342,3.64
2343,3.64
2344,3.64
2345,3.64
2346,3.64
2347,3.63
2348,3.63
2349,3.63
2350,3.63
2351,3.63
2352,3.63
2353,3.63
2354,3.63
2355,3.63
2356,3.63
2357,3.62
2358,3.62
2359,3.62
2360,3.62
2361,3.62
2362,3.62
2363,3.61
2364,3.61
2365,3.61
2366,3.61
2367,3.61
2368,3.61
2369,3.61
2370,3.61
2371,3.61
2372,3.61
2373,3.61
2374,3.61
2375,3.61
2376,3.61
2377,3.6
2378,3.6
2379,3.6
2380,3.6
2381,3.6
2382,3.59
2383,3.59
2384,3.59
2385,3.59
2386,3.59
2387,3.59
2388,3.59
2389,3.59
2390,3.58
2391,3.58
2392,3.58
2393,3.58
2394,3.58
2395,3.58
2396,3.57
2397,3.57
2398,3.57
2399,3.57
2400,3.57
2401,3.57
2402,3.56
2403,3.56
2404,3.56
2405,3.56
2406,3.56
2407,3.56
2408,3.56
2409,3.56
2410,3.56
2411,3.55
2412,3.55
2413,3.55
2414,3.55
2415,3.55
2416,3.55
2417,3.55
2418,3.55
2419,3.55
2420,3.55
2421,3.55
2422,3.55
2423,3.55
2424,3.55
2425,3.55
2426,3.55
2427,3.54
2428,3.54
2429,3.54
2430,3.54
2431,3.54
2432,3.53
2433,3.53
2434,3.53
2435,3.53
2436,3.53
2437,3.53
2438,3.53
2439,3.53
2440,3.53
2441,3.53
2442,3.53
2443,3.53
2444,3.52
2445,3.52
2446,3.52
2447,3.52
2448,3.52
2449,3.52
2450,3.52
2451,3.52
2452,3.52
2453,3.52
2454,3.52
2455,3.52
2456,3.52
2457,3.52
2458,3.51
2459,3.51
2460,3.51
2461,3.51
2462,3.51
2463,3.51
2464,3.51
2465,3.51
2466,3.51
2467,3.51
2468,3.51
2469,3.5
2470,3.5
2471,3.5
2472,3.5
2473,3.5
2474,3.49
2475,3.49
2476,3.49
2477,3.49
2478,3.49
2479,3.49
2480,3.49
2481,3.49
2482,3.49
2483,3.49
2484,3.49
2485,3.49
2486,3.49
2487,3.48
2488,3.48
2489,3.48
2490,3.48
2491,3.48
2492,3.47
2493,3.47
2494,3.47
2495,3.47
2496,3.46
2497,3.46
2498,3.46
2499,3.46
2500,3.46
2501,3.46
2502,3.46
2503,3.45
2504,3.45
2505,3.45
2506,3.45
2507,3.45
2508,3.45
2509,3.45
2510,3.45
2511,3.45
2512,3.45
2513,3.45
2514,3.44
2515,3.44
2516,3.44
2517,3.44
2518,3.44
2519,3.44
2520,3.44
2521,3.44
2522,3.44
2523,3.43
2524,3.43
2525,3.43
2526,3.43
2527,3.43
2528,3.43
2529,3.43
2530,3.43
2531,3.43
2532,3.43
2533,3.42
2534,3.42
2535,3.42
2536,3.42
2537,3.42
2538,3.42
2539,3.42
2540,3.41
2541,3.41
2542,3.41
2543,3.41
2544,3.41
2545,3.41
2546,3.41
2547,3.41
2548,3.4
2549,3.4
2550,3.4
2551,3.4
2552,3.4
2553,3.4
2554,3.4
2555,3.4
2556,3.39
2557,3.39
2558,3.39
2559,3.39
2560,3.39
2561,3.38
2562,3.38
2563,3.38
2564,3.38
2565,3.38
2566,3.38
2567,3.37
2568,3.37
2569,3.37
2570,3.37
2571,3.37
2572,3.37
2573,3.37
2574,3.37
2575,3.37
2576,3.37
2577,3.37
2578,3.37
2579,3.37
2580,3.37
2581,3.36
2582,3.36
2583,3.36
2584,3.36
2585,3.36
2586,3.36
2587,3.36
2588,3.36
2589,3.36
2590,3.35
2591,3.35
2592,3.35
2593,3.35
2594,3.35
2595,3.35
2596,3.35
2597,3.35
2598,3.35
2599,3.35
2600,3.35
2601,3.35
2602,3.34
2603,3.34
2604,3.34
2605,3.34
2606,3.34
2607,3.34
2608,3.34
2609,3.33
2610,3.33
2611,3.33
2612,3.33
2613,3.33
2614,3.33
2615,3.33
2616,3.33
2617,3.33
2618,3.33
2619,3.33
2620,3.33
2621,3.33
2622,3.33
2623,3.33
2624,3.33
2625,3.32
2626,3.32
2627,3.32
2628,3.32
2629,3.32
2630,3.32
2631,3.32
2632,3.32
2633,3.32
2634,3.32
2635,3.32
2636,3.32
2637,3.31
2638,3.31
2639,3.31
2640,3.31
2641,3.31
2642,3.31
2643,3.31
2644,3.31
2645,3.31
2646,3.31
2647,3.31
2648,3.31
2649,3.3
2650,3.3
2651,3.3
2652,3.29
2653,3.29
2654,3.29
2655,3.29
2656,3.29
2657,3.29
2658,3.29
2659,3.28
2660,3.28
2661,3.28
2662,3.28
2663,3.27
2664,3.27
2665,3.27
2666,3.27
2667,3.27
2668,3.27
2669,3.27
2670,3.26
2671,3.26
2672,3.26
2673,3.26
2674,3.26
2675,3.26
2676,3.26
2677,3.26
2678,3.26
2679,3.26
2680,3.26
2681,3.26
2682,3.26
2683,3.25
2684,3.25
2685,3.25
2686,3.25
2687,3.25
2688,3.25
2689,3.25
2690,3.25
2691,3.25
2692,3.25
2693,3.24
2694,3.24
2695,3.24
2696,3.24
2697,3.24
2698,3.24
2699,3.24
2700,3.24
2701,3.24
2702,3.24
2703,3.23
2704,3.23
2705,3.23
2706,3.23
2707,3.23
2708,3.23
2709,3.23
2710,3.23
2711,3.23
2712,3.23
2713,3.22
2714,3.22
2715,3.22
2716,3.22
2717,3.22
2718,3.22
2719,3.22
2720,3.22
2721,3.22
2722,3.22
2723,3.21
2724,3.21
2725,3.21
2726,3.21
2727,3.21
2728,3.21
2729,3.2
2730,3.2
2731,3.2
2732,3.2
2733,3.2
2734,3.2
2735,3.2
2736,3.2
2737,3.2
2738,3.2
2739,3.2
2740,3.2
2741,3.2
2742,3.2
2743,3.2
2744,3.2
2745,3.2
2746,3.19
2747,3.19
2748,3.19
2749,3.19
2750,3.19
2751,3.19
2752,3.19
2753,3.19
2754,3.19
2755,3.19
2756,3.18
2757,3.18
2758,3.18
2759,3.18
2760,3.18
2761,3.18
2762,3.18
2763,3.18
2764,3.18
2765,3.18
2766,3.18
2767,3.18
2768,3.17
2769,3.17
2770,3.17
2771,3.17
2772,3.17
2773,3.17
2774,3.17
2775,3.17
2776,3.17
2777,3.17
2778,3.16
2779,3.16
2780,3.16
2781,3.16
2782,3.16
2783,3.16
2784,3.16
2785,3.16
2786,3.16
2787,3.16
2788,3.16
2789,3.16
2790,3.15
2791,3.15
2792,3.15
2793,3.15
2794,3.15
2795,3.15
2796,3.15
2797,3.15
2798,3.15
2799,3.15
2800,3.15
2801,3.15
2802,3.15
2803,3.15
2804,3.15
2805,3.15
2806,3.15
2807,3.14
2808,3.14
2809,3.14
2810,3.14
2811,3.14
2812,3.14
2813,3.14
2814,3.14
2815,3.14
2816,3.14
2817,3.14
2818,3.14
2819,3.14
2820,3.13
2821,3.13
2822,3.13
2823,3.13
2824,3.13
2825,3.13
2826,3.13
2827,3.13
2828,3.13
2829,3.13
2830,3.13
2831,3.13
2832,3.12
2833,3.12
2834,3.12
2835,3.12
2836,3.12
2837,3.12
2838,3.11
2839,3.11
2840,3.11
2841,3.11
2842,3.11
2843,3.11
2844,3.1
2845,3.1
2846,3.1
2847,3.1
2848,3.1
2849,3.1
2850,3.1
2851,3.1
2852,3.1
2853,3.1
2854,3.1
2855,3.1
2856,3.1
2857,3.1
2858,3.09
2859,3.09
2860,3.09
2861,3.09
2862,3.09
2863,3.09
2864,3.09
2865,3.09
2866,3.09
2867,3.09
2868,3.09
2869,3.09
2870,3.08
2871,3.08
2872,3.08
2873,3.08
2874,3.08
2875,3.07
2876,3.07
2877,3.07
2878,3.07
2879,3.07
2880,3.07
2881,3.07
2882,3.07
2883,3.07
2884,3.07
2885,3.07
2886,3.07
2887,3.07
2888,3.07
2889,3.07
2890,3.07
2891,3.07
2892,3.07
2893,3.07
2894,3.07
2895,3.07
2896,3.07
2897,3.07
2898,3.07
2899,3.06
2900,3.06
2901,3.06
2902,3.06
2903,3.06
2904,3.06
2905,3.06
2906,3.06
2907,3.06
2908,3.06
2909,3.05
2910,3.05
2911,3.05
2912,3.05
2913,3.05
2914,3.05
2915,3.05
2916,3.05
2917,3.05
2918,3.04
2919,3.04
2920,3.04
2921,3.04
2922,3.04
2923,3.04
2924,3.04
2925,3.04
2926,3.04
2927,3.04
2928,3.04
2929,3.04
2930,3.04
2931,3.04
2932,3.04
2933,3.04
2934,3.03
2935,3.03
2936,3.03
2937,3.03
2938,3.03
2939,3.03
2940,3.03
2941,3.03
2942,3.03
2943,3.03
2944,3.03
2945,3.02
2946,3.02
2947,3.02
2948,3.02
2949,3.02
2950,3.02
2951,3.02
2952,3.02
2953,3.02
2954,3.02
2955,3.02
2956,3.02
2957,3.02
2958,3.02
2959,3.01
2960,3.01
2961,3.01
2962,3.01
2963,3.01
2964,3.01
2965,3.01
2966,3.01
2967,3.01
2968,3.01
2969,3.01
2970,3.01
2971,3.01
2972,3.01
2973,3.01
2974,3.0
2975,3.0
2976,3.0
2977,3.0
2978,3.0
2979,3.0
2980,3.0
2981,3.0
2982,3.0
2983,3.0
2984,3.0
2985,3.0
2986,2.99
2987,2.99
2988,2.99
2989,2.99
2990,2.99
2991,2.99
2992,2.99
2993,2.99
2994,2.99
2995,2.99
2996,2.99
2997,2.99
2998,2.99
2999,2.98
3000,2.98
3001,2.98
3002,2.98
3003,2.98
3004,2.98
3005,2.98
3006,2.98
3007,2.98
3008,2.98
3009,2.98
3010,2.98
3011,2.98
3012,2.97
3013,2.97
3014,2.97
3015,2.97
3016,2.97
3017,2.97
3018,2.97
3019,2.97
3020,2.97
3021,2.96
3022,2.96
3023,2.96
3024,2.96
3025,2.96
3026,2.96
3027,2.96
3028,2.96
3029,2.96
3030,2.96
3031,2.96
3032,2.96
3033,2.96
3034,2.96
3035,2.96
3036,2.96
3037,2.96
3038,2.96
3039,2.96
3040,2.95
3041,2.95
3042,2.95
3043,2.95
3044,2.95
3045,2.95
3046,2.95
3047,2.95
3048,2.95
3049,2.95
3050,2.95
3051,2.94
3052,2.94
3053,2.94
3054,2.94
3055,2.94
3056,2.94
3057,2.94
3058,2.94
3059,2.94
3060,2.94
3061,2.94
3062,2.94
3063,2.93
3064,2.93
3065,2.93
3066,2.93
3067,2.93
3068,2.93
3069,2.93
3070,2.93
3071,2.93
3072,2.92
3073,2.92
3074,2.92
3075,2.92
3076,2.92
3077,2.92
3078,2.91
3079,2.91
3080,2.91
3081,2.91
3082,2.91
3083,2.91
3084,2.91
3085,2.91
3086,2.91
3087,2.91
3088,2.91
3089,2.91
3090,2.91
3091,2.91
3092,2.91
3093,2.9
3094,2.9
3095,2.9
3096,2.9
3097,2.9
3098,2.9
3099,2.9
3100,2.9
3101,2.9
3102,2.9
3103,2.9
3104,2.9
3105,2.9
3106,2.9
3107,2.89
3108,2.89
3109,2.89
3110,2.89
3111,2.89
3112,2.89
3113,2.89
3114,2.89
3115,2.89
3116,2.89
3117,2.89
3118,2.88
3119,2.88
3120,2.88
3121,2.88
3122,2.88
3123,2.88
3124,2.88
3125,2.88
3126,2.88
3127,2.88
3128,2.88
3129,2.87
3130,2.87
3131,2.87
3132,2.87
3133,2.87
3134,2.87
3135,2.87
3136,2.87
3137,2.87
3138,2.86
3139,2.86
3140,2.86
3141,2.86
3142,2.86
3143,2.86
3144,2.86
3145,2.86
3146,2.86
3147,2.86
3148,2.86
3149,2.86
3150,2.86
3151,2.86
3152,2.86
3153,2.85
3154,2.85
3155,2.85
3156,2.85
3157,2.85
3158,2.85
3159,2.85
3160,2.85
3161,2.85
3162,2.85
3163,2.85
3164,2.85
3165,2.85
3166,2.85
3167,2.85
3168,2.85
3169,2.84
3170,2.84
3171,2.84
3172,2.84
3173,2.84
3174,2.84
3175,2.84
3176,2.84
3177,2.84
3178,2.84
3179,2.84
3180,2.84
3181,2.84
3182,2.83
3183,2.83
3184,2.83
3185,2.83
3186,2.83
3187,2.83
3188,2.83
3189,2.83
3190,2.83
3191,2.83
3192,2.83
3193,2.83
3194,2.83
3195,2.83
3196,2.83
3197,2.82
3198,2.82
3199,2.82
3200,2.82
3201,2.82
3202,2.82
3203,2.82
3204,2.82
3205,2.82
3206,2.82
3207,2.82
3208,2.82
3209,2.82
3210,2.82
3211,2.81
3212,2.81
3213,2.81
3214,2.81
3215,2.81
3216,2.81
3217,2.81
3218,2.81
3219,2.81
3220,2.81
3221,2.81
3222,2.81
3223,2.81
3224,2.81
3225,2.81
3226,2.8
3227,2.8
3228,2.8
3229,2.8
3230,2.8
3231,2.8
3232,2.8
3233,2.8
3234,2.8
3235,2.8
3236,2.8
3237,2.8
3238,2.8
3239,2.79
3240,2.79
3241,2.79
3242,2.79
3243,2.79
3244,2.79
3245,2.79
3246,2.79
3247,2.79
3248,2.79
3249,2.79
3250,2.79
3251,2.79
3252,2.79
3253,2.79
3254,2.79
3255,2.79
3256,2.78
3257,2.78
3258,2.78
3259,2.78
3260,2.78
3261,2.78
3262,2.78
3263,2.77
3264,2.77
3265,2.77
3266,2.77
3267,2.77
3268,2.77
3269,2.77
3270,2.77
3271,2.77
3272,2.77
3273,2.77
3274,2.77
3275,2.77
3276,2.77
3277,2.77
3278,2.77
3279,2.77
3280,2.77
3281,2.76
3282,2.76
3283,2.76
3284,2.76
3285,2.76
3286,2.76
3287,2.76
3288,2.76
3289,2.76
3290,2.75
3291,2.75
3292,2.75
3293,2.75
3294,2.75
3295,2.75
3296,2.75
3297,2.75
3298,2.75
3299,2.75
3300,2.74
3301,2.74
3302,2.74
3303,2.74
3304,2.74
3305,2.74
3306,2.74
3307,2.74
3308,2.74
3309,2.74
3310,2.74
3311,2.74
3312,2.74
3313,2.74
3314,2.74
3315,2.74
3316,2.74
3317,2.74
3318,2.73
3319,2.73
3320,2.73
3321,2.73
3322,2.73
3323,2.73
3324,2.73
3325,2.73
3326,2.73
3327,2.73
3328,2.73
3329,2.73
3330,2.73
3331,2.72
3332,2.72
3333,2.72
3334,2.72
3335,2.72
3336,2.72
3337,2.72
3338,2.72
3339,2.72
3340,2.72
3341,2.72
3342,2.72
3343,2.72
3344,2.72
3345,2.72
3346,2.72
3347,2.72
3348,2.72
3349,2.71
3350,2.71
3351,2.71
3352,2.71
3353,2.71
3354,2.71
3355,2.71
3356,2.71
3357,2.71
3358,2.71
3359,2.71
3360,2.71
3361,2.71
3362,2.7
3363,2.7
3364,2.7
3365,2.7
3366,2.7
3367,2.7
3368,2.7
3369,2.7
3370,2.7
3371,2.7
3372,2.7
3373,2.7
3374,2.7
3375,2.7
3376,2.7
3377,2.7
3378,2.7
3379,2.7
3380,2.7
3381,2.69
3382,2.69
3383,2.69
3384,2.69
3385,2.69
3386,2.69
3387,2.69
3388,2.69
3389,2.69
3390,2.69
3391,2.69
3392,2.69
3393,2.69
3394,2.69
3395,2.68
3396,2.68
3397,2.68
3398,2.68
3399,2.68
3400,2.68
3401,2.68
3402,2.68
3403,2.68
3404,2.68
3405,2.68
3406,2.68
3407,2.68
3408,2.67
3409,2.67
3410,2.67
3411,2.67
3412,2.67
3413,2.67
3414,2.67
3415,2.67
3416,2.67
3417,2.67
3418,2.67
3419,2.67
3420,2.66
3421,2.66
3422,2.66
3423,2.66
3424,2.66
3425,2.66
3426,2.66
3427,2.66
3428,2.66
3429,2.66
3430,2.66
3431,2.66
3432,2.66
3433,2.66
3434,2.66
3435,2.65
3436,2.65
3437,2.65
3438,2.65
3439,2.65
3440,2.65
3441,2.65
3442,2.65
3443,2.64
3444,2.64
3445,2.64
3446,2.64
3447,2.64
3448,2.64
3449,2.64
3450,2.64
3451,2.64
3452,2.64
3453,2.64
3454,2.64
3455,2.64
3456,2.64
3457,2.63
3458,2.63
3459,2.63
3460,2.63
3461,2.63
3462,2.63
3463,2.63
3464,2.63
3465,2.63
3466,2.63
3467,2.63
3468,2.63
3469,2.63
3470,2.63
3471,2.63
3472,2.62
3473,2.62
3474,2.62
3475,2.62
3476,2.62
3477,2.62
3478,2.62
3479,2.62
3480,2.62
3481,2.62
3482,2.62
3483,2.62
3484,2.62
3485,2.62
3486,2.62
3487,2.62
3488,2.62
3489,2.62
3490,2.62
3491,2.61
3492,2.61
3493,2.61
3494,2.61
3495,2.61
3496,2.61
3497,2.61
3498,2.61
3499,2.61
3500,2.61
3501,2.61
3502,2.61
3503,2.6
3504,2.6
3505,2.6
3506,2.6
3507,2.6
3508,2.6
3509,2.6
3510,2.6
3511,2.6
3512,2.6
3513,2.6
3514,2.6
3515,2.6
3516,2.59
3517,2.59
3518,2.59
3519,2.59
3520,2.59
3521,2.59
3522,2.59
3523,2.59
3524,2.59
3525,2.59
3526,2.59
3527,2.59
3528,2.59
3529,2.58
3530,2.58
3531,2.58
3532,2.58
3533,2.58
3534,2.58
3535,2.58
3536,2.58
3537,2.58
3538,2.58
3539,2.58
3540,2.58
3541,2.58
3542,2.58
3543,2.58
3544,2.58
3545,2.58
3546,2.58
3547,2.57
3548,2.57
3549,2.57
3550,2.57
3551,2.57
3552,2.57
3553,2.57
3554,2.57
3555,2.57
3556,2.57
3557,2.57
3558,2.57
3559,2.57
3560,2.57
3561,2.57
3562,2.57
3563,2.57
3564,2.57
3565,2.56
3566,2.56
3567,2.56
3568,2.56
3569,2.56
3570,2.56
3571,2.56
3572,2.56
3573,2.56
3574,2.56
3575,2.56
3576,2.56
3577,2.56
3578,2.56
3579,2.55
3580,2.55
3581,2.55
3582,2.55
3583,2.55
3584,2.55
3585,2.55
3586,2.55
3587,2.55
3588,2.55
3589,2.55
3590,2.55
3591,2.55
3592,2.54
3593,2.54
3594,2.54
3595,2.54
3596,2.54
3597,2.54
3598,2.54
3599,2.54
3600,2.54
3601,2.54
3602,2.54
3603,2.54
3604,2.54
3605,2.54
3606,2.54
3607,2.54
3608,2.53
3609,2.53
3610,2.53
3611,2.53
3612,2.53
3613,2.53
3614,2.53
3615,2.53
3616,2.52
3617,2.52
3618,2.52
3619,2.52
3620,2.52
3621,2.52
3622,2.52
3623,2.52
3624,2.52
3625,2.52
3626,2.52
3627,2.52
3628,2.52
3629,2.52
3630,2.52
3631,2.52
3632,2.51
3633,2.51
3634,2.51
3635,2.51
3636,2.51
3637,2.51
3638,2.51
3639,2.51
3640,2.51
3641,2.51
3642,2.51
3643,2.51
3644,2.51
3645,2.51
3646,2.51
3647,2.5
3648,2.5
3649,2.5
3650,2.5
3651,2.5
3652,2.5
3653,2.5
3654,2.5
3655,2.5
3656,2.5
3657,2.5
3658,2.5
3659,2.5
3660,2.5
3661,2.5
3662,2.5
3663,2.5
3664,2.5
3665,2.5
3666,2.5
3667,2.5
3668,2.49
3669,2.49
3670,2.49
3671,2.49
3672,2.49
3673,2.49
3674,2.49
3675,2.49
3676,2.49
3677,2.49
3678,2.49
3679,2.49
3680,2.49
3681,2.49
3682,2.48
3683,2.48
3684,2.48
3685,2.48
3686,2.48
3687,2.48
3688,2.48
3689,2.48
3690,2.48
3691,2.48
3692,2.48
3693,2.48
3694,2.48
3695,2.48
3696,2.48
3697,2.48
3698,2.47
3699,2.47
3700,2.47
3701,2.47
3702,2.47
3703,2.47
3704,2.47
3705,2.47
3706,2.47
3707,2.47
3708,2.47
3709,2.46
3710,2.46
3711,2.46
3712,2.46
3713,2.46
3714,2.46
3715,2.46
3716,2.46
3717,2.46
3718,2.46
3719,2.46
3720,2.46
3721,2.46
3722,2.45
3723,2.45
3724,2.45
3725,2.45
3726,2.45
3727,2.45
3728,2.45
3729,2.45
3730,2.45
3731,2.45
3732,2.45
3733,2.45
3734,2.45
3735,2.45
3736,2.45
3737,2.45
3738,2.45
3739,2.44
3740,2.44
3741,2.44
3742,2.44
3743,2.44
3744,2.44
3745,2.44
3746,2.44
3747,2.43
3748,2.43
3749,2.43
3750,2.43
3751,2.43
3752,2.43
3753,2.43
3754,2.43
3755,2.43
3756,2.43
3757,2.43
3758,2.43
3759,2.42
3760,2.42
3761,2.42
3762,2.42
3763,2.42
3764,2.42
3765,2.42
3766,2.42
3767,2.42
3768,2.42
3769,2.42
3770,2.42
3771,2.42
3772,2.42
3773,2.41
3774,2.41
3775,2.41
3776,2.41
3777,2.41
3778,2.41
3779,2.41
3780,2.41
3781,2.41
3782,2.41
3783,2.41
3784,2.41
3785,2.41
3786,2.41
3787,2.41
3788,2.41
3789,2.41
3790,2.41
3791,2.4
3792,2.4
3793,2.4
3794,2.4
3795,2.4
3796,2.4
3797,2.4
3798,2.4
3799,2.4
3800,2.4
3801,2.4
3802,2.4
3803,2.39
3804,2.39
3805,2.39
3806,2.39
3807,2.39
3808,2.39
3809,2.39
3810,2.39
3811,2.39
3812,2.39
3813,2.39
3814,2.39
3815,2.39
3816,2.39
3817,2.39
3818,2.38
3819,2.38
3820,2.38
3821,2.38
3822,2.38
3823,2.38
3824,2.38
3825,2.38
3826,2.38
3827,2.38
3828,2.38
3829,2.38
3830,2.38
3831,2.38
3832,2.38
3833,2.38
3834,2.38
3835,2.38
3836,2.38
3837,2.38
3838,2.38
3839,2.37
3840,2.37
3841,2.37
3842,2.37
3843,2.37
3844,2.37
3845,2.37
3846,2.37
3847,2.37
3848,2.37
3849,2.37
3850,2.37
3851,2.37
3852,2.37
3853,2.37
3854,2.37
3855,2.37
3856,2.37
3857,2.37
3858,2.37
3859,2.37
3860,2.37
3861,2.37
3862,2.36
3863,2.36
3864,2.36
3865,2.36
3866,2.36
3867,2.36
3868,2.36
3869,2.36
3870,2.36
3871,2.36
3872,2.36
3873,2.36
3874,2.36
3875,2.36
3876,2.36
3877,2.36
3878,2.36
3879,2.35
3880,2.35
3881,2.35
3882,2.35
3883,2.35
3884,2.35
3885,2.35
3886,2.35
3887,2.35
3888,2.34
3889,2.34
3890,2.34
3891,2.34
3892,2.34
3893,2.34
3894,2.34
3895,2.34
3896,2.34
3897,2.34
3898,2.34
3899,2.34
3900,2.34
3901,2.34
3902,2.34
3903,2.34
3904,2.34
3905,2.34
3906,2.34
3907,2.34
3908,2.34
3909,2.33
3910,2.33
3911,2.33
3912,2.33
3913,2.33
3914,2.33
3915,2.33
3916,2.33
3917,2.33
3918,2.33
3919,2.33
3920,2.33
3921,2.33
3922,2.33
3923,2.33
3924,2.33
3925,2.32
3926,2.32
3927,2.32
3928,2.32
3929,2.32
3930,2.32
3931,2.32
3932,2.32
3933,2.32
3934,2.32
3935,2.32
3936,2.32
3937,2.32
3938,2.32
3939,2.32
3940,2.32
3941,2.32
3942,2.32
3943,2.32
3944,2.31
3945,2.31
3946,2.31
3947,2.31
3948,2.31
3949,2.31
3950,2.31
3951,2.31
3952,2.31
3953,2.31
3954,2.31
3955,2.31
3956,2.31
3957,2.31
3958,2.31
3959,2.31
3960,2.31
3961,2.31
3962,2.3
3963,2.3
3964,2.3
3965,2.3
3966,2.3
3967,2.3
3968,2.3
3969,2.3
3970,2.3
3971,2.3
3972,2.3
3973,2.3
3974,2.3
3975,2.3
3976,2.29
3977,2.29
3978,2.29
3979,2.29
3980,2.29
3981,2.29
3982,2.29
3983,2.29
3984,2.29
3985,2.29
3986,2.29
3987,2.29
3988,2.29
3989,2.29
3990,2.29
3991,2.29
3992,2.29
3993,2.29
3994,2.29
3995,2.29
3996,2.29
3997,2.29
3998,2.29
3999,2.29
4000,2.29
4001,2.29
4002,2.29
4003,2.29
4004,2.29
4005,2.28
4006,2.28
4007,2.28
4008,2.28
4009,2.28
4010,2.28
4011,2.28
4012,2.28
4013,2.28
4014,2.28
4015,2.28
4016,2.28
4017,2.28
4018,2.28
4019,2.28
4020,2.28
4021,2.27
4022,2.27
4023,2.27
4024,2.27
4025,2.27
4026,2.27
4027,2.27
4028,2.27
4029,2.27
4030,2.27
4031,2.27
4032,2.27
4033,2.27
4034,2.27
4035,2.27
4036,2.27
4037,2.27
4038,2.27
4039,2.27
4040,2.27
4041,2.27
4042,2.27
4043,2.27
4044,2.27
4045,2.26
4046,2.26
4047,2.26
4048,2.26
4049,2.26
4050,2.26
4051,2.26
4052,2.26
4053,2.26
4054,2.26
4055,2.26
4056,2.26
4057,2.26
4058,2.26
4059,2.25
4060,2.25
4061,2.25
4062,2.25
4063,2.25
4064,2.25
4065,2.25
4066,2.25
4067,2.25
4068,2.25
4069,2.25
4070,2.25
4071,2.25
4072,2.25
4073,2.25
4074,2.25
4075,2.24
4076,2.24
4077,2.24
4078,2.24
4079,2.24
4080,2.24
4081,2.24
4082,2.24
4083,2.24
4084,2.24
4085,2.24
4086,2.24
4087,2.24
4088,2.24
4089,2.24
4090,2.24
4091,2.24
4092,2.24
4093,2.24
4094,2.24
4095,2.24
4096,2.23
4097,2.23
4098,2.23
4099,2.23
4100,2.23
4101,2.23
4102,2.23
4103,2.23
4104,2.23
4105,2.23
4106,2.23
4107,2.23
4108,2.23
4109,2.23
4110,2.23
4111,2.23
4112,2.23
4113,2.23
4114,2.23
4115,2.23
4116,2.23
4117,2.23
4118,2.22
4119,2.22
4120,2.22
4121,2.22
4122,2.22
4123,2.22
4124,2.22
4125,2.22
4126,2.22
4127,2.22
4128,2.22
4129,2.22
4130,2.22
4131,2.22
4132,2.21
4133,2.21
4134,2.21
4135,2.21
4136,2.21
4137,2.21
4138,2.21
4139,2.21
4140,2.21
4141,2.21
4142,2.21
4143,2.21
4144,2.21
4145,2.21
